"","gene_id","moduleColor","GS.light","p.GS.light"
"NC_007677.1_WP_237702031.1","NC_007677.1_WP_237702031.1","turquoise",-0.614104315630061,0.011382134388649
"NC_007677.1_WP_011404218.1","NC_007677.1_WP_011404218.1","green",0.193170242810608,0.473498752617776
"NC_007677.1_WP_011403674.1","NC_007677.1_WP_011403674.1","green",0.360745931835891,0.169849847636482
"NC_007677.1_WP_013062423.1","NC_007677.1_WP_013062423.1","green",0.400591814517679,0.124141753361939
"NC_007677.1_WP_011402879.1","NC_007677.1_WP_011402879.1","red",-0.0590121193103332,0.828139107657746
"NC_007677.1_WP_011405458.1","NC_007677.1_WP_011405458.1","magenta",-0.520007817128932,0.0389470003519791
"NC_007677.1_WP_011404850.1","NC_007677.1_WP_011404850.1","brown",0.881853748139207,6.27036342271461e-06
"NC_007677.1_WP_237701929.1","NC_007677.1_WP_237701929.1","blue",0.317671516137338,0.230535576588136
"NC_007677.1_WP_112903935.1","NC_007677.1_WP_112903935.1","green",-0.16442241149953,0.542853190080086
"NC_007677.1_WP_112903937.1","NC_007677.1_WP_112903937.1","pink",-0.575097541027701,0.0197744305819922
"NC_007677.1_WP_011404502.1","NC_007677.1_WP_011404502.1","blue",0.413725695947462,0.111158550812063
"NC_007677.1_WP_162892262.1","NC_007677.1_WP_162892262.1","pink",-0.636608750241128,0.0080100197139636
"NC_007677.1_WP_011403417.1","NC_007677.1_WP_011403417.1","magenta",-0.402913022807677,0.121774283973572
"NC_007677.1_WP_011403697.1","NC_007677.1_WP_011403697.1","blue",0.0284301728062544,0.91675980281111
"NC_007677.1_WP_011404221.1","NC_007677.1_WP_011404221.1","green",-0.115509070922082,0.67011676248968
"NC_007677.1_WP_011403685.1","NC_007677.1_WP_011403685.1","blue",0.630519172127477,0.0088317423851414
"NC_007677.1_WP_237701850.1","NC_007677.1_WP_237701850.1","brown",0.7639132065964,0.000571694950460426
"NC_007677.1_WP_231847128.1","NC_007677.1_WP_231847128.1","turquoise",-0.422138545461168,0.103360362285415
"NC_007677.1_WP_011403807.1","NC_007677.1_WP_011403807.1","blue",0.545215842900824,0.0289464660891848
"NC_007677.1_WP_118830809.1","NC_007677.1_WP_118830809.1","magenta",-0.761207083297348,0.000614336927753933
"NC_007677.1_WP_013062436.1","NC_007677.1_WP_013062436.1","brown",0.660037491756762,0.00539542360576268
"NC_007677.1_WP_112903561.1","NC_007677.1_WP_112903561.1","turquoise",-0.854166331452579,2.53533393696431e-05
"NC_007677.1_WP_013061006.1","NC_007677.1_WP_013061006.1","brown",0.976840191950845,9.01478704946963e-11
"NC_007677.1_WP_011404429.1","NC_007677.1_WP_011404429.1","turquoise",-0.583966934383305,0.0175417797368213
"NC_007677.1_WP_164923469.1","NC_007677.1_WP_164923469.1","red",-0.102397900281449,0.705905455916039
"NC_007677.1_WP_011404827.1","NC_007677.1_WP_011404827.1","purple",0.21683346141456,0.419872069187928
"NC_007677.1_WP_013060929.1","NC_007677.1_WP_013060929.1","turquoise",-0.613423489542688,0.0114992054405153
"NC_007677.1_WP_011405078.1","NC_007677.1_WP_011405078.1","red",-0.132718594877704,0.624142275287211
"NC_007677.1_WP_011403896.1","NC_007677.1_WP_011403896.1","turquoise",-0.453830757340068,0.0774428807421291
"NC_007677.1_WP_043553401.1","NC_007677.1_WP_043553401.1","blue",0.132252715772373,0.625370802598468
"NC_007677.1_WP_112904041.1","NC_007677.1_WP_112904041.1","blue",0.415157953293038,0.109802712682174
"NC_007677.1_WP_011403696.1","NC_007677.1_WP_011403696.1","turquoise",-0.900925887944417,1.92666127172489e-06
"NC_007677.1_WP_011403677.1","NC_007677.1_WP_011403677.1","green",0.409496889723072,0.115230053624365
"NC_007677.1_WP_013062116.1","NC_007677.1_WP_013062116.1","yellow",-0.220136696775439,0.412648720316091
"NC_007677.1_WP_011403798.1","NC_007677.1_WP_011403798.1","blue",0.55162541610107,0.0267492900248391
"NC_007677.1_WP_237701703.1","NC_007677.1_WP_237701703.1","turquoise",-0.405152619835617,0.119519919594874
"NC_007677.1_WP_011404189.1","NC_007677.1_WP_011404189.1","turquoise",-0.758128099545157,0.000666000231209741
"NC_007677.1_WP_237701998.1","NC_007677.1_WP_237701998.1","blue",0.725845084064728,0.00145664577823718
"NC_007677.1_WP_118841017.1","NC_007677.1_WP_118841017.1","grey",-0.0492004485580128,0.856409930396477
"NC_007677.1_WP_011404573.1","NC_007677.1_WP_011404573.1","yellow",-0.113853382492191,0.674601485546102
"NC_007677.1_WP_011403279.1","NC_007677.1_WP_011403279.1","black",0.462730637473722,0.0710988063260323
"NC_007677.1_WP_237701863.1","NC_007677.1_WP_237701863.1","turquoise",-0.513989354218897,0.0416783094875707
"NC_007677.1_WP_112903923.1","NC_007677.1_WP_112903923.1","pink",-0.556408047162607,0.0251947841616992
"NC_007677.1_WP_011404468.1","NC_007677.1_WP_011404468.1","turquoise",-0.690830713155753,0.00304535429861233
"NC_007677.1_WP_103015433.1","NC_007677.1_WP_103015433.1","turquoise",-0.784566786085497,0.000319680347895571
"NC_007677.1_WP_011404505.1","NC_007677.1_WP_011404505.1","blue",0.482965700556221,0.0580929999657618
"NC_007677.1_WP_011404812.1","NC_007677.1_WP_011404812.1","turquoise",-0.864246888723894,1.57926874822181e-05
"NC_007677.1_WP_237701961.1","NC_007677.1_WP_237701961.1","grey",-0.11581848152067,0.669279821136732
"NC_007677.1_WP_011405369.1","NC_007677.1_WP_011405369.1","blue",0.488218799259728,0.0550244721933492
"NC_007677.1_WP_112903941.1","NC_007677.1_WP_112903941.1","turquoise",-0.588446130368739,0.0164914062767433
"NC_007677.1_WP_011404437.1","NC_007677.1_WP_011404437.1","purple",0.428156827848141,0.0980241088048611
"NC_007677.1_WP_011404439.1","NC_007677.1_WP_011404439.1","black",0.304054264680276,0.252238856702701
"NC_007677.1_WP_237701820.1","NC_007677.1_WP_237701820.1","blue",0.522890527123485,0.0376875639920149
"NC_007677.1_WP_011403804.1","NC_007677.1_WP_011403804.1","blue",0.169605713969905,0.530025743851996
"NC_007677.1_WP_011404301.1","NC_007677.1_WP_011404301.1","greenyellow",-0.323351240072796,0.221843375746016
"NC_007677.1_WP_011403374.1","NC_007677.1_WP_011403374.1","red",-0.405120213992055,0.119552330707526
"NC_007677.1_WP_011404374.1","NC_007677.1_WP_011404374.1","blue",0.205953137551859,0.444124577192745
"NC_007677.1_WP_237701889.1","NC_007677.1_WP_237701889.1","pink",-0.520124440688302,0.0388954412936714
"NC_007677.1_WP_011403224.1","NC_007677.1_WP_011403224.1","red",-0.261670722181243,0.327590471217669
"NC_007677.1_WP_112904433.1","NC_007677.1_WP_112904433.1","brown",0.46495581931892,0.0695735548637878
"NC_007677.1_WP_011404687.1","NC_007677.1_WP_011404687.1","turquoise",-0.392011379303246,0.133169443253978
"NC_007677.1_WP_237701692.1","NC_007677.1_WP_237701692.1","red",-0.657508542320126,0.0056393135254868
"NC_007677.1_WP_173387030.1","NC_007677.1_WP_173387030.1","blue",0.55976200600906,0.0241466790704161
"NC_007677.1_WP_164923482.1","NC_007677.1_WP_164923482.1","turquoise",-0.850707779666267,2.95870125486875e-05
"NC_007677.1_WP_011404865.1","NC_007677.1_WP_011404865.1","grey",0.0694836815801028,0.798184363779677
"NC_007677.1_WP_237701875.1","NC_007677.1_WP_237701875.1","magenta",-0.374070216479673,0.15347961084443
"NC_007677.1_WP_237701874.1","NC_007677.1_WP_237701874.1","magenta",-0.515074932487675,0.0411753288445276
"NC_007677.1_WP_011402917.1","NC_007677.1_WP_011402917.1","brown",0.514090763678087,0.041631129168845
"NC_007677.1_WP_013062346.1","NC_007677.1_WP_013062346.1","turquoise",-0.617820507866275,0.0107595357216868
"NC_007677.1_WP_011402795.1","NC_007677.1_WP_011402795.1","yellow",-0.286627993135447,0.281794139318677
"NC_007677.1_WP_011404162.1","NC_007677.1_WP_011404162.1","blue",0.263125658651791,0.32480941800738
"NC_007677.1_WP_011403016.1","NC_007677.1_WP_011403016.1","brown",0.729305700111857,0.00134634832679845
"NC_007677.1_WP_103015861.1","NC_007677.1_WP_103015861.1","turquoise",-0.854909109844177,2.45137970899784e-05
"NC_007677.1_WP_011403089.1","NC_007677.1_WP_011403089.1","blue",0.14496110607099,0.592199054455784
"NC_007677.1_WP_237701737.1","NC_007677.1_WP_237701737.1","red",-0.43563076239713,0.0916727596991799
"NC_007677.1_WP_011405477.1","NC_007677.1_WP_011405477.1","brown",0.516854186029885,0.0403608253798987
"NC_007677.1_WP_011402833.1","NC_007677.1_WP_011402833.1","blue",0.30118786314911,0.256962900899844
"NC_007677.1_WP_011404088.1","NC_007677.1_WP_011404088.1","blue",0.260425207547274,0.329982086081409
"NC_007677.1_WP_237701687.1","NC_007677.1_WP_237701687.1","yellow",0.0402895303566663,0.882228883589146
"NC_007677.1_WP_164923705.1","NC_007677.1_WP_164923705.1","blue",0.558781397385298,0.0244495855515277
"NC_007677.1_WP_011404453.1","NC_007677.1_WP_011404453.1","turquoise",-0.964573643336853,1.70980015274269e-09
"NC_007677.1_WP_011405501.1","NC_007677.1_WP_011405501.1","green",-0.202254611974167,0.452526995829727
"NC_007677.1_WP_112902825.1","NC_007677.1_WP_112902825.1","blue",0.133091536437798,0.623159493408547
"NC_007677.1_WP_011403792.1","NC_007677.1_WP_011403792.1","blue",0.573811937672587,0.0201154821944391
"NC_007677.1_WP_011404316.1","NC_007677.1_WP_011404316.1","turquoise",-0.77495575851429,0.00042208033456791
"NC_007677.1_WP_112902691.1","NC_007677.1_WP_112902691.1","brown",0.401004494205507,0.123718538676975
"NC_007677.1_WP_112904383.1","NC_007677.1_WP_112904383.1","black",0.783169076852355,0.000333144533622885
"NC_007677.1_WP_164923633.1","NC_007677.1_WP_164923633.1","turquoise",-0.800986786073996,0.000192353968221495
"NC_007677.1_WP_118828856.1","NC_007677.1_WP_118828856.1","red",0.0468370243007858,0.863245592141642
"NC_007677.1_WP_164923518.1","NC_007677.1_WP_164923518.1","yellow",-0.30604616828313,0.248987926843277
"NC_007677.1_WP_118841286.1","NC_007677.1_WP_118841286.1","turquoise",-0.76780260907077,0.000514697621193162
"NC_007677.1_WP_011404842.1","NC_007677.1_WP_011404842.1","turquoise",-0.7759577694605,0.000410282670887529
"NC_007677.1_WP_011403588.1","NC_007677.1_WP_011403588.1","turquoise",-0.579933051958859,0.0185315320908627
"NC_007677.1_WP_011403988.1","NC_007677.1_WP_011403988.1","green",-0.0789135370829686,0.771432345031738
"NC_007677.1_WP_272481475.1","NC_007677.1_WP_272481475.1","green",-0.230164468231483,0.391126366107505
"NC_007677.1_WP_011404705.1","NC_007677.1_WP_011404705.1","red",-0.546627793883969,0.0284510319096514
"NC_007677.1_WP_013062472.1","NC_007677.1_WP_013062472.1","blue",0.28794339527821,0.279493458382955
"NC_007677.1_WP_011404703.1","NC_007677.1_WP_011404703.1","blue",0.161670180351294,0.54971959929462
"NC_007677.1_WP_011402872.1","NC_007677.1_WP_011402872.1","yellow",0.00915224974066094,0.973164450982944
"NC_007677.1_SRU_RS15415","NC_007677.1_SRU_RS15415","red",-0.45576710055627,0.0760290500599421
"NC_007677.1_WP_011403172.1","NC_007677.1_WP_011403172.1","turquoise",-0.934850269876094,1.12321792036645e-07
"NC_007677.1_WP_237701892.1","NC_007677.1_WP_237701892.1","blue",0.530425211869044,0.03454075654477
"NC_007677.1_WP_237702028.1","NC_007677.1_WP_237702028.1","turquoise",-0.693830520361321,0.0028700484243823
"NC_007677.1_WP_112903403.1","NC_007677.1_WP_112903403.1","green",-0.197539936314545,0.463352376129774
"NC_007677.1_WP_011404424.1","NC_007677.1_WP_011404424.1","turquoise",-0.528631388341485,0.0352711956792992
"NC_007677.1_WP_183956949.1","NC_007677.1_WP_183956949.1","magenta",-0.400728176854645,0.124001799217128
"NC_007677.1_WP_011403457.1","NC_007677.1_WP_011403457.1","blue",0.692829876972949,0.0029275942937623
"NC_007677.1_WP_164923543.1","NC_007677.1_WP_164923543.1","brown",0.190596391016451,0.479525526117617
"NC_007677.1_WP_011403700.1","NC_007677.1_WP_011403700.1","black",0.636839726261493,0.00798009059038255
"NC_007677.1_WP_011404507.1","NC_007677.1_WP_011404507.1","blue",0.33104305703488,0.210408623517201
"NC_007677.1_WP_011404517.1","NC_007677.1_WP_011404517.1","blue",0.51076596017588,0.0431989960321088
"NC_007677.1_WP_103017756.1","NC_007677.1_WP_103017756.1","blue",0.154745625788067,0.567161246125873
"NC_007677.1_WP_237701860.1","NC_007677.1_WP_237701860.1","tan",0.537804140254565,0.0316559328287742
"NC_007677.1_WP_013062987.1","NC_007677.1_WP_013062987.1","turquoise",-0.584922888448091,0.0173133628780663
"NC_007677.1_WP_011404243.1","NC_007677.1_WP_011404243.1","turquoise",-0.563597963959964,0.0229893785773173
"NC_007677.1_WP_011404357.1","NC_007677.1_WP_011404357.1","blue",0.37777170050892,0.149128180898622
"NC_007677.1_WP_118827476.1","NC_007677.1_WP_118827476.1","blue",-0.192821638650967,0.474312849393827
"NC_007677.1_WP_011405343.1","NC_007677.1_WP_011405343.1","yellow",-0.280990129547189,0.291783657932658
"NC_007677.1_WP_011405146.1","NC_007677.1_WP_011405146.1","blue",-0.298304744905478,0.261769100572972
"NC_007677.1_WP_112902847.1","NC_007677.1_WP_112902847.1","turquoise",-0.610696781910647,0.0119775939283691
"NC_007677.1_WP_011403676.1","NC_007677.1_WP_011403676.1","green",0.247332670296455,0.355724914337072
"NC_007677.1_WP_076611408.1","NC_007677.1_WP_076611408.1","blue",0.211629210693404,0.43138503565709
"NC_007677.1_WP_011403819.1","NC_007677.1_WP_011403819.1","turquoise",-0.302822656330406,0.254262006978036
"NC_007677.1_WP_118828838.1","NC_007677.1_WP_118828838.1","pink",-0.600211694493314,0.0139645107528956
"NC_007677.1_WP_011403903.1","NC_007677.1_WP_011403903.1","turquoise",-0.837966572748282,5.06507405717664e-05
"NC_007677.1_WP_011405273.1","NC_007677.1_WP_011405273.1","red",-0.100837316017587,0.710205715989904
"NC_007677.1_WP_011403424.1","NC_007677.1_WP_011403424.1","turquoise",-0.527381657837123,0.0357869469691153
"NC_007677.1_WP_011404381.1","NC_007677.1_WP_011404381.1","turquoise",-0.537500662134263,0.0317708390415033
"NC_007677.1_WP_011402909.1","NC_007677.1_WP_011402909.1","black",0.371452140662675,0.156608615214973
"NC_007677.1_WP_112903716.1","NC_007677.1_WP_112903716.1","green",0.285393218467475,0.283964145210521
"NC_007677.1_WP_162891519.1","NC_007677.1_WP_162891519.1","turquoise",-0.548929167485714,0.0276574201815065
"NC_007677.1_WP_011404951.1","NC_007677.1_WP_011404951.1","blue",0.209510595473218,0.436117945479977
"NC_007677.1_WP_112904210.1","NC_007677.1_WP_112904210.1","turquoise",-0.877182322077135,8.12052451890791e-06
"NC_007677.1_WP_011403619.1","NC_007677.1_WP_011403619.1","turquoise",-0.649005319477152,0.00652464161466677
"NC_007677.1_WP_011403632.1","NC_007677.1_WP_011403632.1","red",-0.59204810714721,0.0156828041528783
"NC_007677.1_WP_043552096.1","NC_007677.1_WP_043552096.1","green",0.169024347182125,0.531457644373925
"NC_007677.1_WP_011402985.1","NC_007677.1_WP_011402985.1","green",-0.132202930948975,0.62550214036047
"NC_007677.1_WP_011405259.1","NC_007677.1_WP_011405259.1","yellow",-0.513508219874141,0.0419027023023465
"NC_007677.1_WP_197537045.1","NC_007677.1_WP_197537045.1","blue",-0.233494869798913,0.384115042463338
